# Phase 16-5 Primitive Logging Audit

Source: parser-based scan that skips comments and string literals; case-sensitive, unlike the earlier PowerShell rough count.

## Counts
- Category A: 186
- Category B: 18
- Category C: 2
- Category E: 4
- Total true primitive calls: 210

## Category Legend
- A: server diagnostic, migrate to LOG_*
- B: intended console/utility output, migrate to fmt::print
- C: fatal/assertion output, keep visible and log
- D: dead code, remove if verified
- E: test/example/special exception, leave or document

## Call Sites
SRC/Server/Base/grid.cpp:228 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("Grid %p\n", this)
SRC/Server/GameServer/config.cpp:1473 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "GENERAL CONFIG LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1480 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "GENERAL CONFIG LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1487 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "GENERAL CONFIG LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1496 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "DB_PORT not configured\n")
SRC/Server/GameServer/config.cpp:1502 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CHANNEL not configured\n")
SRC/Server/GameServer/config.cpp:1508 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "HOSTNAME must be configured.\n")
SRC/Server/GameServer/config.cpp:1521 | C | Startup configuration fatal/error output; keep visible and log as fatal diagnostic. | fprintf_stderr | fprintf(stderr, "Failed to Load ExpTable from DB so exit\n")
SRC/Server/GameServer/config.cpp:1534 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GENERAL CMD LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1541 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GENERAL CMD LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1548 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GENERAL CMD LOAD OK [%s]\n", szFileName)
SRC/Server/GameServer/config.cpp:1566 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "Can not get public ip address\n")
SRC/Server/GameServer/config.cpp:1599 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CLIENT_CRC: %u %u\n", dwValidClientProcessCRC, dwValidClientFileCRC)
SRC/Server/GameServer/config.cpp:1619 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "VERSION: \"%s\"\n", buf)
SRC/Server/GameServer/config.cpp:1796 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CANNOT LOAD MAP TELEPORTER CONFIG!!!\n")
SRC/Server/GameServer/db.cpp:1285 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "cannot open direct sql connection to host: %s user: %s db: %s\n", host, user, db)
SRC/Server/GameServer/desc.cpp:621 | A | Server/runtime diagnostic output; route through LOG_*. | puts_fputs | fputs("\n", m_pLogFile)
SRC/Server/GameServer/fishing.cpp:169 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("Tab error on line: %s\n", buf)
SRC/Server/GameServer/fishing.cpp:869 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("%s\t%u\t%u\t%u\t%d\t%d\t%d\t%d\t%d\t%d\t%d\t%d", fish_info[i].name, fish_info[i].vnum, fish_info[i].dead_vnum, fish_info[i].grill_vnum, fish_info[i].prob[0], fish_info[i].prob[1], fish_info[i].prob[2], fish_info[i].difficulty, fish_info[i].time_type, fish_info[i].length_range[0], fish_info[i].length_range[1], fish_info[i].length_range[2])
SRC/Server/GameServer/fishing.cpp:884 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("\t%d", fish_info[i].used_table[j])
SRC/Server/GameServer/fishing.cpp:886 | A | Server/runtime diagnostic output; route through LOG_*. | puts_fputs | puts("")
SRC/Server/GameServer/ip_ban.cpp:99 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "\t%s", inet_ntoa(in_ip))
SRC/Server/GameServer/ip_ban.cpp:100 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "\t%s", inet_ntoa(in_end))
SRC/Server/GameServer/ip_ban.cpp:101 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "\t%s\tfirst %d\n", inet_ntoa(in_mask), hash())
SRC/Server/GameServer/ip_ban.cpp:126 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "error reading start %s\n", s)
SRC/Server/GameServer/ip_ban.cpp:152 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "LOADING BANNED IP LIST\n")
SRC/Server/GameServer/ip_ban.cpp:345 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("Syntax: %s <filename>\n", *argv)
SRC/Server/GameServer/ip_ban.cpp:383 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("size %d\n", v.size())
SRC/Server/GameServer/ip_ban.cpp:385 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("result1 %d\n", v.size())
SRC/Server/GameServer/ip_ban.cpp:387 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("result2 %d\n", v.size())
SRC/Server/GameServer/locale_service.cpp:1144 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stdout | fprintf(stdout, "Setting Locale \"%s\" (Path: %s)\n", g_stServiceName.c_str(), g_stServiceBasePath.c_str())
SRC/Server/GameServer/lzo_manager.cpp:8 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "lzo_init() failed\n")
SRC/Server/GameServer/main.cpp:608 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("Option list\n" "-p <port> : bind port number (port must be over 1024)\n" "-l <level> : sets log level\n" "-n <locale> : sets locale name\n" #ifdef ENABLE_NEWSTUFF "-C <on-off> : checkpointing check on/off\n" #endif "-v : log to stdout\n" "-r : do not load regen tables\n" "-t : traffic profile on\n")
SRC/Server/GameServer/main.cpp:649 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("IP %s\n", g_szPublicIP)
SRC/Server/GameServer/main.cpp:664 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("port %d\n", mother_port)
SRC/Server/GameServer/main.cpp:727 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not initialize thecore, check owner of pid, syslog\n")
SRC/Server/GameServer/main.cpp:737 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("socket_tcp_bind: tcp_socket")
SRC/Server/GameServer/main.cpp:745 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("socket_udp_bind: udp_socket")
SRC/Server/GameServer/main.cpp:754 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("socket_tcp_bind: p2p_socket")
SRC/Server/GameServer/main.cpp:773 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "SlaveAuth")
SRC/Server/GameServer/main.cpp:781 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "MasterAuth %d\n", LC_GetLocalType())
SRC/Server/GameServer/new_offlineshop_manager.cpp:641 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "cant find sectree for entity : name %s , pid %u ",ent.GetShopName(), ent.GetShop()->GetOwnerPID())
SRC/Server/GameServer/questnpc.cpp:103 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "cannot find quest index for %s\n", stQuestName.c_str())
SRC/Server/GameServer/sectree_manager.cpp:1126 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("Name ID: %u\n", np.name)
SRC/Server/GameServer/sectree_manager.cpp:1127 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("X: %d\n", np.x)
SRC/Server/GameServer/sectree_manager.cpp:1128 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("Y: %d\n", np.y)
SRC/Server/GameServer/shutdown_manager.cpp:74 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("ShutdownManager::Update() - Shutdown Account : %s\n", (*i)->GetAccountTable().login)
SRC/Server/GameServer/skill_power.cpp:14 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf( stderr, "[NO SETTING SKILL] aiSkillPowerByLevelFromType[%d]", job)
SRC/Server/Poly/main.cpp:15 | B | Standalone Poly CLI output; terminal output, not server diagnostic. | bare_printf | printf( "12345\n" )
SRC/Server/Poly/main.cpp:38 | B | Standalone Poly CLI output; terminal output, not server diagnostic. | bare_printf | printf("B = %d\n", atoi(argv[2]))
SRC/Server/SQL/AsyncSQL.cpp:191 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("pthread_mutex_init")
SRC/Server/SQL/AsyncSQL.cpp:197 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("pthread_mutex_init")
SRC/Server/SQL/AsyncSQL.cpp:211 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("CAsyncSQL::Setup")
SRC/Server/SQL/Semaphore.cpp:24 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("sem_init")
SRC/Server/SQL/Semaphore.cpp:59 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("sem_wait")
SRC/Server/SQL/Tellwait.cpp:22 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "signal(SIGINT) error\n")
SRC/Server/SQL/Tellwait.cpp:28 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "signal(SIGQUIT) error\n")
SRC/Server/SQL/Tellwait.cpp:41 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "SIG_BLOCK error\n")
SRC/Server/SQL/Tellwait.cpp:61 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "SIG_SETMASK error\n")
SRC/Server/SQL/Tellwait.cpp:81 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "SIG_SETMASK error\n")
